 He  "Helium Atom He" % [#2] % 1       
 C   "3-Ethylindole CH2" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 5     
 H   "3-Ethylindole H2C" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 10     
 C   "3-Ethylindole CH3" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 6   
 H   "3-Ethylindole H3C" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 9     
 N   "3-Formylindole N" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 6      
 H   "3-Formylindole HN" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 9      
 C   "3-Formylindole C2" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 7     
 C   "3-Formylindole C3" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 3     
 C   "3-Formylindole C4" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 13     
 C   "3-Formylindole C5" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 12     
 C   "3-Formylindole C6" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 11     
 C   "3-Formylindole C7" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 10     
 C   "3-Formylindole C3a" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 4    
 C   "3-Formylindole C7a" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 5    
 H   "3-Formylindole HC2" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 8 
 H   "3-Formylindole HC4" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 14    
 H   "3-Formylindole HC5" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 15    
 H   "3-Formylindole HC6" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 16    
 H   "3-Formylindole HC7" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 17    
 C   "3-Formylindole C=O" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 2    
 O   "3-Formylindole O=C" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 1    
 H   "3-Formylindole HC=O" % [#8]=[#6](-[#6]1:[#6]2:[#6](:[#7](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 18 
 N   "Benzamidine N" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 2 5         
 H   "Benzamidine HN" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 1 7       
 C   "Benzamidine N-C-N" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 4    
 C   "Benzamidine C1-CN2" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 8     
 C   "Benzamidine C2" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 13        
 C   "Benzamidine C3" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 10        
 C   "Benzamidine C4" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 11        
 H   "Benzamidine H2" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 14       
 H   "Benzamidine H3" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 17        
 H   "Benzamidine H4" % [H]-[#7](-[H])[#6](-[#7](-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H] % 16     
 N   "Pyridinium N" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 1         
 C   "Pyridinium C2" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 2      
 C   "Pyridinium C3" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 3        
 C   "Pyridinium C4" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 4     
 H   "Pyridinium HN" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 12         
 H   "Pyridinium H2" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 11         
 H   "Pyridinium H3" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 8         
 H   "Pyridinium H4" % [#7+]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 9          
 Cl "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 1
 C "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 2
 H "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 3
 H "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 4
 H "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 5
 Cl "CH2Cl2" % [#17]-[#6](-[#17])(-[H])-[H] % 1
 Cl "CH2Cl2" % [#17]-[#6](-[#17])(-[H])-[H] % 3
 C "CH2Cl2" % [#17]-[#6](-[#17])(-[H])-[H] % 2
 H "CH2Cl2" % [#17]-[#6](-[#17])(-[H])-[H] % 4
 H "CH2Cl2" % [#17]-[#6](-[#17])(-[H])-[H] % 5
 Cl "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 1
 C "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 2
 H "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 3
 H "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 4
 H "CH3Cl" % [#17]-[#6](-[H])(-[H])-[H] % 5
 Cl "CCl4" % [#17]-[#6](-[#17])(-[#17])-[#17] % 1
 Cl "CCl4" % [#17]-[#6](-[#17])(-[#17])-[#17] % 3
 Cl "CCl4" % [#17]-[#6](-[#17])(-[#17])-[#17] % 4
 Cl "CCl4" % [#17]-[#6](-[#17])(-[#17])-[#17] % 5
 C "CCl4" % [#17]-[#6](-[#17])(-[#17])-[#17] % 2
